player,salary_rank,team,games_played,player_mvp_calc_avg,salary,team_games_played,games_missed,pvm_rank,rankingish,percentile_rank,color_var,adj_penalty_final,pct_penalized
Jeff Green,< $5 M,DEN,58,13.9,4500000,62,4,6.86,0.868,86.8,Normal,1,0
Brook Lopez,$10-15 M,MIL,1,13.88,13302325,63,62,17.66,0.343,34.3,Normal,0.75,0.25
Isaac Okoro,$5-10 M,CLE,47,13.82,6720720,62,15,15.89,0.429,42.9,Normal,0.94,0.06
Georges Niang,< $5 M,PHI,57,13.8,3300000,61,4,6.86,0.866,86.6,Normal,1,0
George Hill,< $5 M,MIL,41,13.78,4000000,63,22,6.86,0.863,86.3,Normal,0.82,0.18
Talen Horton-Tucker,$5-10 M,LAL,45,13.77,9500000,62,17,15.89,0.416,41.6,Normal,0.9,0.1
Kenrich Williams,< $5 M,OKC,49,13.72,2000000,62,13,6.86,0.861,86.1,Normal,0.98,0.02
Gary Harris,$20-25 M,ORL,55,13.6,20482143,63,8,22.3,0,0,Bad Value,1,0
Furkan Korkmaz,< $5 M,PHI,54,13.5,4629630,61,7,6.86,0.856,85.6,Normal,1,0
Sekou Doumbouya,< $5 M,LAL,2,13.5,1000000,62,60,6.86,0.856,85.6,Normal,0.75,0.25
Alperen Sengun,< $5 M,HOU,54,13.2,3214680,62,8,6.86,0.853,85.3,Normal,1,0
Nassir Little,< $5 M,POR,42,13.19,2316240,62,20,6.86,0.851,85.1,Normal,0.84,0.16
Matisse Thybulle,< $5 M,PHI,46,13.16,2840160,61,15,6.86,0.848,84.8,Normal,0.94,0.06
Cory Joseph,$5-10 M,DET,52,13.1,7310000,63,11,15.89,0.403,40.3,Normal,1,0
Bones Hyland,< $5 M,DEN,50,13.1,2096880,62,12,6.86,0.846,84.6,Normal,1,0
Doug McDermott,$10-15 M,SAS,47,13.07,13750000,63,16,17.66,0.314,31.4,Normal,0.94,0.06
Onyeka Okongwu,$5-10 M,ATL,29,13.05,6104280,62,33,15.89,0.39,39,Normal,0.75,0.25
Amir Coffey,< $5 M,LAC,52,12.9,1000000,65,13,6.86,0.843,84.3,Normal,1,0
Javonte Green,< $5 M,CHI,46,12.88,1669178,63,17,6.86,0.841,84.1,Normal,0.92,0.08
Garrison Mathews,< $5 M,HOU,45,12.87,1093598,62,17,6.86,0.838,83.8,Normal,0.9,0.1
T.J. McConnell,$5-10 M,IND,24,12.83,7500000,64,40,15.89,0.377,37.7,Normal,0.75,0.25
Raul Neto,< $5 M,WAS,52,12.8,2089448,61,9,6.86,0.835,83.5,Normal,1,0
Grant Williams,< $5 M,BOS,60,12.7,2617800,65,5,6.86,0.833,83.3,Normal,1,0
Jalen Green,$5-10 M,HOU,47,12.69,8992200,62,15,15.89,0.364,36.4,Normal,0.94,0.06
Collin Sexton,$5-10 M,CLE,11,12.68,6349671,62,51,15.89,0.351,35.1,Normal,0.75,0.25
Jaxson Hayes,$5-10 M,NOP,50,12.6,5348280,62,12,15.89,0.338,33.8,Normal,1,0
Cameron Oliver,< $5 M,ATL,2,12.6,1000000,62,60,6.86,0.83,83,Normal,0.75,0.25
Bruce Brown,< $5 M,BKN,55,12.5,4736102,64,9,6.86,0.823,82.3,Normal,1,0
Isaiah Stewart,< $5 M,DET,55,12.5,3277080,63,8,6.86,0.823,82.3,Normal,1,0
Dwight Powell,$10-15 M,DAL,63,12.5,11000000,63,0,17.66,0.286,28.6,Normal,1,0
Trey Lyles,< $5 M,SAC,58,12.5,2500000,65,7,6.86,0.823,82.3,Normal,1,0
Cam Thomas,< $5 M,BKN,53,12.3,1000000,64,11,6.86,0.82,82,Normal,1,0
Nicolas Batum,$10-15 M,LAC,44,12.18,12213507,65,21,17.66,0.257,25.7,Normal,0.84,0.16
Richaun Holmes,$10-15 M,SAC,41,12.09,10384500,65,24,17.66,0.229,22.9,Normal,0.78,0.22
De'Andre Hunter,$5-10 M,ATL,34,12.08,7775400,62,28,15.89,0.325,32.5,Normal,0.75,0.25
Bryn Forbes,< $5 M,DEN,59,12,4500000,62,3,6.86,0.815,81.5,Normal,1,0
Naz Reid,< $5 M,MIN,60,12,1782621,63,3,6.86,0.815,81.5,Normal,1,0
Kemba Walker,$5-10 M,NYK,37,11.93,8729020,62,25,15.89,0.312,31.2,Normal,0.75,0.25
Dewayne Dedmon,$5-10 M,MIA,54,11.9,5256308,64,10,15.89,0.299,29.9,Normal,1,0
Damion Lee,< $5 M,GSW,50,11.9,1910860,63,13,6.86,0.81,81,Normal,1,0
Nemanja Bjelica,< $5 M,GSW,56,11.9,2089448,63,7,6.86,0.81,81,Normal,1,0
Landry Shamet,< $5 M,PHX,49,11.86,3768342,62,13,6.86,0.808,80.8,Normal,0.98,0.02
Kenyon Martin,< $5 M,HOU,59,11.8,1517981,62,3,6.86,0.805,80.5,Normal,1,0
Terence Davis,< $5 M,SAC,30,11.78,4000000,65,35,6.86,0.803,80.3,Normal,0.75,0.25
DeMarcus Cousins,< $5 M,DEN,28,11.63,2004047,62,34,6.86,0.797,79.7,Normal,0.75,0.25
Andre Iguodala,< $5 M,GSW,26,11.63,2641691,63,37,6.86,0.797,79.7,Normal,0.75,0.25
Facundo Campazzo,< $5 M,DEN,56,11.6,3804150,62,6,6.86,0.795,79.5,Normal,1,0
Blake Griffin,$30+ M,BKN,51,11.5,32405817,64,13,31.17,0,0,Bad Value,1,0
Bismack Biyombo,< $5 M,PHX,19,11.48,1000000,62,43,6.86,0.792,79.2,Normal,0.75,0.25
Joe Harris,$15-20 M,BKN,14,11.33,17357143,64,50,20.88,0.129,12.9,Bad Value,0.75,0.25
Obi Toppin,$5-10 M,NYK,57,11.3,5105160,62,5,15.89,0.286,28.6,Normal,1,0
Tre Mann,< $5 M,OKC,49,11.27,2901240,62,13,6.86,0.79,79,Normal,0.98,0.02
Shake Milton,< $5 M,PHI,34,11.25,1846738,61,27,6.86,0.787,78.7,Normal,0.75,0.25
