player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Cody Martin,CHA,Charlotte Hornets,7.7,NA,0.579,NA,71,NA,265,Other,15.4,11,0,Other,166
Max Strus,MIA,Miami Heat,10.6,10.9,0.614,0.516,68,18,166,Other,15.4,14,0,Other,167
Gabe Vincent,MIA,Miami Heat,8.7,8,0.551,0.515,68,18,227,Other,15,14,0,Other,168
JaVale McGee,PHX,Phoenix Suns,9.2,6.8,0.651,0.727,74,12,206,Other,15,8,0,Other,170
Precious Achiuwa,TOR,Toronto Raptors,9.1,10.2,0.503,0.541,73,6,210,Other,15,9,0,Other,169
Michael Porter,DEN,Denver Nuggets,9.9,NA,0.416,NA,9,NA,191,Other,14.93,73,57,Other,171
Pat Connaughton,MIL,Milwaukee Bucks,9.9,9.5,0.62,0.632,65,12,189,Other,14.9,17,1,Other,172
Reggie Bullock,DAL,Dallas Mavericks,8.6,10.6,0.558,0.598,68,18,229,Other,14.9,14,0,Other,173
Cedi Osman,CLE,Cleveland Cavaliers,10.7,NA,0.562,NA,66,NA,162,Other,14.8,16,0,Other,174
Kevon Looney,GSW,Golden State Warriors,6,5.8,0.586,0.662,82,22,341,Other,14.8,0,0,Other,175
Frank Kaminsky,PHX,Phoenix Suns,10.6,NA,0.635,NA,9,NA,164,Other,14.78,73,57,Other,176
Isaac Okoro,CLE,Cleveland Cavaliers,8.8,NA,0.589,NA,67,NA,223,Other,14.7,15,0,Other,177
Jaylen Hoard,OKC,Oklahoma City Thunder,14.7,NA,0.536,NA,7,NA,98,Other,14.7,75,59,Other,178
Marcus Morris,LAC,Los Angeles Clippers,15.4,NA,0.549,NA,54,NA,84,Other,14.59,28,12,Other,179
Alperen Sengun,HOU,Houston Rockets,9.6,NA,0.552,NA,72,NA,194,Other,14.5,10,0,Other,181
Deni Avdija,WAS,Washington Wizards,8.4,NA,0.536,NA,82,NA,237,Other,14.5,0,0,Other,183
Jaden McDaniels,MIN,Minnesota Timberwolves,9.2,9.3,0.552,0.713,70,6,207,Other,14.5,12,0,Other,182
Nickeil Alexander-Walker,UTA,Utah Jazz,10.6,5,0.475,1.025,65,1,168,Other,14.5,17,1,Other,180
Daniel Gafford,WAS,Washington Wizards,9.4,NA,0.709,NA,72,NA,199,Other,14.4,10,0,Other,185
Darius Bazley,OKC,Oklahoma City Thunder,10.8,NA,0.516,NA,69,NA,159,Other,14.4,13,0,Other,186
Derrick Walton,DET,Detroit Pistons,6.3,NA,0.342,NA,3,NA,322,Other,14.4,79,63,Other,184
Jeff Green,DEN,Denver Nuggets,10.3,3.8,0.627,0.495,75,5,176,Other,14.3,7,0,Other,187
Ayo Dosunmu,CHI,Chicago Bulls,8.8,4,0.596,0.378,77,5,221,Other,14.2,5,0,Other,188
Luguentz Dort,OKC,Oklahoma City Thunder,17.2,NA,0.541,NA,51,NA,63,Other,14.18,31,15,Other,190
Markelle Fultz,ORL,Orlando Magic,10.8,NA,0.517,NA,18,NA,161,Other,14.18,64,48,Other,189
Chuma Okeke,ORL,Orlando Magic,8.6,NA,0.5,NA,70,NA,230,Other,14.1,12,0,Other,192
Dwight Powell,DAL,Dallas Mavericks,8.7,3.2,0.724,0.643,82,18,226,Other,14.1,0,0,Other,193
Jaxson Hayes,NOP,New Orleans Pelicans,9.3,5.8,0.679,0.586,70,6,201,Other,14.1,12,0,Other,194
Obi Toppin,NYK,New York Knicks,9,NA,0.614,NA,72,NA,213,Other,14.1,10,0,Other,191
Alex Caruso,CHI,Chicago Bulls,7.4,6.3,0.526,0.543,41,4,278,Other,14.03,41,25,Other,195
Matisse Thybulle,PHI,Philadelphia 76ers,5.7,3,0.594,0.533,66,9,359,Other,14,16,0,Other,196
LaMarcus Aldridge,BKN,Brooklyn Nets,12.9,NA,0.602,NA,47,NA,121,Other,13.95,35,19,Other,197
Chris Duarte,IND,Indiana Pacers,13.1,NA,0.537,NA,55,NA,117,Other,13.81,27,11,Other,198
Gary Payton,GSW,Golden State Warriors,7.1,6.5,0.679,0.751,71,12,294,Other,13.8,11,0,Other,199
Caleb Martin,MIA,Miami Heat,9.2,4.5,0.611,0.46,60,17,205,Other,13.73,22,6,Other,200
Talen Horton-Tucker,LAL,Los Angeles Lakers,10,NA,0.503,NA,60,NA,186,Other,13.73,22,6,Other,201
Justin Holiday,SAC,Sacramento Kings,10.1,NA,0.543,NA,74,NA,180,Other,13.6,8,0,Other,202
Sekou Doumbouya,LAL,Los Angeles Lakers,7,NA,0.717,NA,2,NA,297,Other,13.5,80,64,Other,203
Trey Lyles,SAC,Sacramento Kings,10.5,NA,0.588,NA,75,NA,169,Other,13.4,7,0,Other,204
Eric Bledsoe,LAC,Los Angeles Clippers,9.9,NA,0.514,NA,54,NA,192,Other,13.38,28,12,Other,205
Grant Williams,BOS,Boston Celtics,7.8,8.6,0.635,0.599,77,24,263,Other,13.3,5,0,Other,206
Amir Coffey,LAC,Los Angeles Clippers,9,NA,0.598,NA,69,NA,218,Other,13.2,13,0,Other,207
Georges Niang,PHI,Philadelphia 76ers,9.2,4.8,0.594,0.593,76,12,209,Other,13.1,6,0,Other,208
De'Andre Hunter,ATL,Atlanta Hawks,13.4,21.2,0.547,0.673,53,5,110,Other,13.05,29,13,Other,209
T.J. McConnell,IND,Indiana Pacers,8.5,NA,0.525,NA,27,NA,233,Other,13.05,55,39,Other,210
Victor Oladipo,MIA,Miami Heat,12.4,10.6,0.608,0.499,8,15,127,Other,12.98,74,58,Other,211
Javonte Green,CHI,Chicago Bulls,7.2,1.4,0.637,0.196,65,5,288,Other,12.94,17,1,Other,212
Killian Hayes,DET,Detroit Pistons,6.9,NA,0.461,NA,66,NA,304,Other,12.9,16,0,Other,213
Eric Gordon,HOU,Houston Rockets,13.4,NA,0.614,NA,57,NA,111,Other,12.87,25,9,Other,214
Cory Joseph,DET,Detroit Pistons,8,NA,0.579,NA,65,NA,257,Other,12.84,17,1,Other,215
Isaiah Stewart,DET,Detroit Pistons,8.3,NA,0.549,NA,71,NA,244,Other,12.8,11,0,Other,216
Brook Lopez,MIL,Milwaukee Bucks,12.4,10.6,0.57,0.561,13,12,128,Other,12.75,69,53,Other,217
Landry Shamet,PHX,Phoenix Suns,8.3,4.3,0.55,0.509,69,12,239,Other,12.7,13,0,Other,219
Oshae Brissett,IND,Indiana Pacers,9.1,NA,0.53,NA,67,NA,212,Other,12.7,15,0,Other,218
Collin Sexton,CLE,Cleveland Cavaliers,16,NA,0.526,NA,11,NA,78,Other,12.68,71,55,Other,220
Cameron Oliver,ATL,Atlanta Hawks,11.5,NA,0.705,NA,2,NA,143,Other,12.6,80,64,Other,221
